Command,Link,Description
show amp-audit,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-show-amp-audit.htm,This command displays the set of configurations on the AirWave Management Platform.
show ap active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-active.htm,This command displays all the active APs registered to a Mobility Master.
show ap-alert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ap-alert.htm,This command displays all the alerts received for the specified AP.
show ap allowed-channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-allw-chanl.htm,"This command displays the allowed channels on a specific AP name, country code, or IP address."
show ap allowed-max-eirp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-alw-mx-eir.htm,The output of this command displays the regulatory power limits per channel for a specified AP.
show ap arm history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-histry.htm,"For each interface on an AP, this command displays the history of the channel and power changes due to Airmatch Service. Airmatch Service does the automatic channel and power assignment for the radio interfaces on the AP."
show ap arm neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-arm-neighb.htm,This command displays the ARM settings on the AP's neighbors.
show ap arm rf-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-rf-sum.htm,This command displays the state and statistics for all channels being monitored by an individual AP.
show ap arm scan-times,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-scan.htm,This command displays channel scan times for an individual AP and information on the channel being scanned.
show ap association,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-assoc.htm,"This command displays the AP association table. Use this command on an AP to check if user is connected to the AP. Use this command on the gateway to check if the user is anchored to gateway cluster. This command validates whether the client is associated and indicates the last AP to which it was connected. If the flags column shows an 'A', the client is currently associated with that AP. Alternately, if the client is not currently associated, the AP with the smallest value of association time is the last AP used by the client."
show ap blacklist-clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bl-clnt.htm,This command displays a list of clients that have been denied access.
show ap bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bss-table.htm,This command displays the Basic Service Set (BSS) table of an AP.
show ap cacert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-cacert.htm,"This command displays the details of the CA certificate on an AP. The output of this command displays details such as the version, serial number, subject, issue date, expiry date, type of encryption, and RSA key information of the CA certificates uploaded on the AP."
show ap database long,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-long.htm,This command displays the list of access points (AP) in the database.
show ap database-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-sum.htm,This command displays the summary of the access points that this gateway knows about. This command is also useful for determining the number of unprovisioned APs or duplicate APs in the network.
show ap debug airmatch channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-ch.htm,This command displays information about AirMatch channel lists. The list consists of the channel number and its corresponding flag for each radio. The description for flag abbreviation is also provided in the command output.
show ap debug airmatch feasibility,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-fsb.htm,This command displays information about radio feasibility data.
show ap debug airmatch nbr,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-nbr.htm,This command displays the list of neighboring radios.
show ap debug airmatch provision history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prh.htm,This command displays the Airmatch service provisioned channel and power for each radio with timestamp.
show ap debug airmatch provision data,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prv.htm,"This command displays information about Airmatch Service provisioned channel, power, and operating mode data that is used by each radio on the AP."
show ap debug airmatch radio,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-rd.htm,This command displays information about AirMatch radio.
show ap debug airmatch report,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap_dbg-am-rep.htm,"This command displays information about AirMatch updates on an AP. Issue this command to show AirMatch measurement settings applied to the selected AP, as well as information about the last update for different AirMatch reports."
show ap debug airmatch status {status},https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-st.htm,This command displays the Airmatch status for each radio on the AP.
