Command,Link
show airgroup discover-cache servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-discvr-csh-svr.htm
show airgroup global policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-gbl-plcy.htm
show airgroup service,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-srv-vbs.htm
show airgroup users,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-users.htm
show airgroup wired-servers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-wird-srv.htm
show airgroupservice,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-service.htm
show airgroupservice-ids,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-airgrp-serv-ids.htm
show alert global,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-alerts-gl.htm
show allowed-aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-allowed.htm
show amon msg-buffer-size,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-amn-msg-bfr.htm
show amon source-interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-asi.htm
show amp-audit,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-show-amp-audit.htm
show ap active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-active.htm
show ap-alert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-ap-alert.htm
show ap allowed-channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-allw-chanl.htm
show ap allowed-max-eirp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-alw-mx-eir.htm
show ap arm history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-histry.htm
show ap arm neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-arm-neighb.htm
show ap arm rf-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-rf-sum.htm
show ap arm scan-times,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-arm-scan.htm
show ap association,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-assoc.htm
show ap blacklist-clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bl-clnt.htm
show ap bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-bss-table.htm
show ap cacert,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-cacert.htm
show ap database long,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-long.htm
show ap database-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-sum.htm
show ap debug airmatch channels,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-ch.htm
show ap debug airmatch feasibility,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-fsb.htm
show ap debug airmatch nbr,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-nbr.htm
show ap debug airmatch provision history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prh.htm
show ap debug airmatch provision data,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-prv.htm
show ap debug airmatch radio,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-rd.htm
show ap debug airmatch report,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap_dbg-am-rep.htm
show ap debug airmatch status {status},https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-am-st.htm
show ap debug airslice client-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-airsl-cl-sts.htm
show ap debug auth-trace-buf+,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-auth.htm
show ap debug c2c-nodes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-c2c-nds.htm
show ap debug client-mgmt-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-cm-mgm.htm
show ap debug client-stats*,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-clt-st.htm
show ap debug client-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-clt-tab.htm
show ap debug cloud-config-received,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-ccr.htm
show ap debug cloud-domain-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-cld-dom.htm
show ap debug cloud-events-pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cep.htm
show ap debug cloud-pingpong-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-cld-ping.htm
show ap debug cloud-restore-status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-debug-crs.htm
show ap debug cloud-server,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cs.htm
show ap debug cloud-signon-key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-csk.htm
show ap debug cloud-state,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cls.htm
show ap debug cloud-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-cst.htm
show ap debug core-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-debug-ci.htm
show ap debug crash-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-crash.htm
show ap debug dot1x-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-dot1x.htm
show ap debug driver-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-driv.htm
show ap debug lldp counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-countrs.htm
show ap debug lldp info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-info.htm
show ap debug lldp neighbor interface,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-ngbr-intrfc.htm
show ap debug lldp state,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-dbg-lldp-state.htm
show ap debug mgmt-frames+,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-mgmt.htm
show ap debug persistent-clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-pc.htm
show ap debug pmk-sync-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-pmk-sts.htm
show ap debug radio-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-db-rad-in.htm
show ap debug radio-stats 0,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-rad-st.htm
show ap debug radio-stats 1,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-rad-st1.htm
show ap debug radius-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-rs.htm
show ap debug shaping-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-shp-tbl.htm
show ap debug stm-bucketmap,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmb.htm
show ap debug stm-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stmc.htm
show ap debug stm-role,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-debug-stm.htm
show ap debug subscribe-event-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-apd-subsc-evt.htm
show ap debug system-status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-dbg-sys-st.htm
show ap dtls ephemeral-neighlist,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-dtls-en.htm
show ap dtls provisioned-neighlist,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-dtls-pn.htm
show ap-env,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-env.htm
show ap global acl-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-glb-acl.htm
show ap mesh active,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-actv.htm
show ap mesh cluster configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-cfg.htm
show ap mesh cluster stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-sts.htm
show ap mesh cluster status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-stat.htm
show ap mesh cluster topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-topo.htm
show ap mesh counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-count.htm
show ap mesh link,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-link.htm
show ap mesh neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-neigh.htm
show ap mesh topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-topo.htm
show ap monitor status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor.htm
show ap monitor ap-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-ap-list.htm
show ap monitoe ap- list containment exclusion,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-mon-excl.htm
show ap monitor active-laser-beams,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mtr-act-lsr-bms.htm
show ap monitor arp-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mtr-arp-cache.htm
show ap monitor containment-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-cnt-inf.htm
show ap monitor pot-ap-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-pot-aplist.htm
show ap monitor pot-sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-pot-stlist.htm
show ap monitor routers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-router.htm
show ap monitor scan-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-scan-inf.htm
show ap monitor sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-instant.htm
show ap mpskcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mpskcache.htm
show ap onboarding event,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-evnt.htm
show ap onboarding status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-st.htm
show ap pmkcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-pmkcache.htm
show ap power-mgmt-statistics,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-power-mng.htm
show ap radio-summary,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-radio-sum.htm
show ap roamcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-roamcache.htm
show ap regulatory,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-regulatory.htm
show ap spectrum monitors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-spt-mon.htm
show ap vlan-usage,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-vlan-usage.htm
show ap wmm-flow,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-wmm-flow.htm
show ap machine-authcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-ma-auth.htm
show app-monitoring list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-app-mon-list.htm
show aps,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showaps.htm
show aps scanning,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showap-scan.htm
show app-services,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-app-services.htm
show arm config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-cur-conf.htm
show arp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-arp.htm
show aruba-central,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-aruba-central.htm
show aruba-central control-channel,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen-cont-chan.htm
show aruba-central control-channel-counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-acccc.htm
show aruba central details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ref-aruba-cen.htm
show aruba central smart amon counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sac.htm
show aruba central stats counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sc.htm
show aruba central stats counters all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ac-sca.htm
show ata counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-count.htm
show ata endpoint,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ata-endpoint.htm
show auth-tracebuf,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-auth-tracebuf.htm
show audit-trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail.htm
show audit-trail history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-audit-trail-hist.htm
show auth-survivability cached-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-auth-surviv.htm
show boot,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot.htm
show boot history,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-boot-hist.htm
show captive-portal,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal.htm
show captive-portal-domains,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cap-portal-do.htm
show cellular config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular.htm
show cellular status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/showcellular-stat.htm
show clarity,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-config.htm
show clarity history sta,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta.htm
show clarity history sta-dns,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-hstry-sta-dns.htm
show clarity stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clarity-stas.htm
show clients,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients.htm
show clients debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-debug.htm
show clients debug advanced,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cl-db-adv.htm
show client status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-client-status.htm
show clients wired,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired.htm
show clients wired debug,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/show-clients-wired-deb.htm
show clock,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock.htm
show clock summer-time,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-summ-time.htm
show clock timezone,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone.htm
show clock timezone all,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clock-timezone-all.htm
show cluster,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster.htm
show cluster-config,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cluster-conf.htm
show cluster bss-table,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cluster-bss.htm
show cluster-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clustersec.htm
show cluster-security connections,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-clst-sec-conn.htm
show cluster-security peers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-clstrsec-peer.htm
show cluster-switches,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-switches.htm
show cluster-tech-support,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cl-tech-sup.htm
show configuration,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf.htm
show configuration effective,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-conf-eff.htm
show configuration failure,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-fail.htm
show configuration partial,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-cnf-par.htm
show configuration pending,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-pen.htm
show configuration received,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-conf-rec.htm
show control-plane-security,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-con-pln-secr.htm
show country,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country.htm
show country-codes,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-co.htm
show country trail,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-country-trail.htm
show cp-bwcontracts,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-bwcontr.htm
show cp-stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cp-stats.htm
show cpu,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu.htm
show cpu details,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpu-details.htm
show cpuload,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload.htm
show cpuload current,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cpuload-curr.htm
show crashinfo,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-crashinfo.htm
show crypto dp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-dp.htm
show crypto dynamic-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-dyn-map.htm
show crypto ipsec ipsec-map-id,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec.htm
show crypto ipsec sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-sa.htm
show crypto ipsec transform-set,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-ipsec-trsfrm-set.htm
show crypto isakmp,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp.htm
show crypto isakmp groupname,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp.htm
show crypto isakmp key,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-key.htm
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-pol.htm
show crypto isakmp policy,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-pol.htm
show crypto isakmp sa,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-sa.htm
show crypto isakmp stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-isakmp-stat.htm
show crypto isakmp uplink-vlan,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-iskmp-upl.htm
show crypto map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-map.htm
show crypto oto,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crypto-oto.htm
show crypto-local ipsec-map,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cryp-lcl-ipsc.htm
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-crylcl-isk-ca.htm
show crypto-local isakmp ca-certificate,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-ca.htm
show crypto-local isakmp certificate-group,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-cry-lcl-iskmp-cert-grp.htm
